25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\
26186:他\把\同志们\留下\的\工作\继续\做\下去\.\
#He carried on the task left by his comrades.
弊绰 悼丰甸捞 巢变 老篮 拌加 秦唱艾促.

26187:他\把\文件\从\写字台\上\杂乱\地\收集\起来\.\
#He scrambled the papers up from the desk.
弊绰 辑幅甫 氓惑 困俊辑 绢瘤反霸 荐笼沁促.

26188:他\把\文件\猛地\摔\在\桌\上\,\就\生气\地\走\了\出去\.\
#He slammed the papers down on the desk and angrily walked out.
弊绰 辑幅甫 技霸 殴磊 困俊 带廉滚府绊, 拳啊 唱辑 吧绢 唱艾促.

26189:他\把\我\带\到\一旁\,\小\声\地\告诉\我\这个\消息\.\
#He drew me aside and imparted the news to me in a whisper.
弊绰 唱甫 茄 率俊 单府绊 啊辑, 累篮 家府绊 唱俊霸 捞 家侥阑 舅妨林菌促.

26190:他\把\闲暇\时间\全\花\在\打\高尔夫球\上\.\
#He gave all his free time to golf.
弊绰 咯啊 矫埃阑 葛滴 榜橇 摹绰单 敬促.

26191:他\把\笑话\讲\得\过分\详细\以致\失去\了\幽默\性\.\
#He so overelaborates his jokes that they lose their humor.
弊绰 快胶霸 家府甫 瘤唱摹霸 惑技窍霸 秦辑 蜡赣胶矾框阑 酪霸 茄促.

26192:他\把\写\着\姓名\和\地址\的\签条\附\在\皮箱\上\.\
#He tagged his trunk with his name and address.
弊绰 己疙苞 林家啊 结 乐绰 部府钎甫 飘贩农 困俊 嘿看促.

26193:他\把\新\种\的\矮\树丛\周围\的\泥土\夯\实\.\
#He rammed down the soil round the newly planted bush.
弊绰 货肺 缴篮 累篮 包格 林函狼 柳入阑 崔备龙秦辑 促脸促.

26194:他\把\信\丢\进\炉子\,\几\秒\钟\时间\信\就\烧掉\了\.\
#He threw the letter into the stove and it burnt up in a few seconds.
弊绰 祈瘤甫 抄肺 加俊 带廉滚啡绊, 割 盒狼 矫埃捞 瘤唱辑 祈瘤绰 鸥滚啡促.

26195:他\把\要\告诉\我的\话\一\讲\完\就\挂\断\了\电话\.\
#He buzzed off as soon as he had told me all he had wanted to.
弊绰 唱俊霸 酒妨林妨绊 寝带 富阑 促 窍磊付磊 傈拳甫 谗菌促.

26196:他\把\一\枚\硬币\塞\进\那\女\服务\生手\中\.\
#He thrust a coin into the waitress's hand.
弊绰 悼傈 茄 簇阑 弊 咯 辆诀盔 颊俊 怖 零绢林菌促.

26197:他\把\一切\都\解释\以后\,\我\仍然\不\甚\明了\.\
#I was none the wiser after he'd explained everything.
弊啊 葛电 巴阑 促 汲疙茄 饶俊档 唱绰 弊促瘤 疙丰秦瘤瘤 臼疽促.

26198:他\把\一\条\细\绳\系\在\指头\上\,\以\唤起\记忆\.\
#He tied a string on his finger to jog his memory.
弊绰 扁撅阑 券扁矫虐扁 困秦辑 啊绰 临阑 颊啊遏俊 弓菌促.

26199:他\把\一些\钱\交给\儿子\去\买\学校\用\的\课本\.\
#He gave his son some money for the purchase of his school books.
弊绰 切背俊辑 静绰 背苞辑甫 荤档废 酒甸俊霸 捣阑 粱 扒匙 林菌促.

26200:他\把\椅子\向前\拉\一些\,\然\後\坐\下去\.\
#He drew his chair a little forward and sat down on it.
弊绰 狼磊甫 菊栏肺 粱 寸变 促澜俊 旧疽促.

26201:他\把\这\辆\自行车\送给\了\我\,\没\要\钱\.\
#He gave me this bicycle for nothing.
弊绰 捞 磊傈芭甫 唱俊霸 林绊 捣阑 夸备窍瘤 臼疽促.

26202:他\把\这些\想法\灌输\到\他们的\脑子\
#He implanted these ideas in their minds.
弊绰 捞矾茄 积阿阑 弊甸狼 赣府 加俊 林涝矫淖促.

26203:他\把\种子\播\在\装\满\腐\叶\沃土\的\木\箱\里\.\
#He planted the seeds in a box filled with leaf mould.
弊绰 揪甫 解篮 唱沟蕾栏肺 等 苛配甫 啊垫 淬篮 唱公 惑磊 加俊 谎啡促.

26204:他\把\助手\差\来\遣\去\,\那\样子\真\叫\人\看\不惯\.\
#He orders his assistant about in a way that is very offensive.
弊绰 炼荐甫 咯扁历扁 免厘阑 焊辰促. 弊 裁篮 沥富肺 荤恩阑 传裁 荤吵霸 茄促.

26205:他\把\自己的\书籍\损\赠\给\一\家\流通\图书馆\.\
#He gave away his books to a circulating library.
弊绰 磊脚狼 辑利阑 茄 捞悼档辑包俊 扁刘沁促.

26206:他\扳\下\电闸\,\打谷场\上\的\灯\一下子\全\亮\了\.\
#He pressed the switch and all the lights on the switch and all the lights on the threshing ground flashed on together.
弊啊 胶困摹甫 穿福磊, 呕邦厘狼 殿捞 茄锅俊 促 难脸促.

26207:他\帮\不了\忙\,\他\自己的\事\都\应付\不了\.\
#He can't help; he's too taken up with his own problems.
弊绰 档匡 荐 绝促. 弊 磊脚狼 老档 促 贸府秦尘 荐 绝促.

26208:他\帮助\我\跨过\篱笆\时\,\紧紧\地\拉\住\我的\手\.\
#He kept a firm hold on my hand as he helped me over the fence.
弊绰 郴啊 匡鸥府甫 顿绢逞绰 巴阑 档匡 锭, 唱狼 颊阑 怖 棱酒林菌促.

26209:他\包\了\一些\面包\和\干酪\准备\当\正餐\吃\.\
#He packed some bread and cheese for his dinner.
弊绰 距埃狼 户苞 摹令甫 轿辑 历翅侩栏肺 冈栏妨绊 茄促. 

26210:他\被\吩咐\不可\把\树苗\根\部\周围\的\土\踩\硬\.\
#He was told not to tread the earth round the roots of the seedling.
弊绰 功格 谎府 何辟 林困狼 入阑 迭迭窍霸 光酒辑绰 救等促绊 盒何罐疽促.

26211:他\被\击\倒\后\,\爬\了\起来\,\振作\一下\,\跑\掉\了\.\
#After he had been hit,he got up,gathered himself together and ran off.
弊绰 父磊 静矾柳 饶俊 促矫 老绢唱辑 沥脚阑 茄 锅 啊促惦歹聪 崔酒唱 滚啡促.

26212:他\被\捆\在\撞\坏\的\汽车\里\,\两\条\腿\动\不了\.\
#He was trapped in the crashed car and could not move his legs.
弊绰 面倒秦辑 骂弊矾柳 磊悼瞒 加俊 挨囚辑, 滴 促府啊 框流老 荐 绝促.

26213:他\被\勒令\退\学\,\直接\原因\是\他的\行为\不\检\.\
#He was asked to leave school as a direct result of his behaviour.
弊绰 硼切窍档废 碍夸罐疽促. 流立利牢 盔牢篮 弊狼 青悼捞 例档啊 绝绰 巴捞促.

26214:他\被\判处\三\年\徒刑\,\但\也\可能\提前\释放\.\
#He got a three- year sentence,but he may come out early.
弊绰 3斥 隆开阑 急绊罐疽瘤父 菊寸败 籍规且 荐档 乐促.

26215:他\被\送\进\监狱\,\这\使\他的\一\家\蒙受\耻辱\.\
#He shamed his family by being sent to prison.
弊啊 皑苛俊 甸绢艾促绰 巴篮 弊狼 老啊肺 窍咯陛 荐摹胶反霸 沁促.

26216:他\被\他\哥哥\所\控制\,\这\使\他\非常\气愤\.\
#His domination by his brother made him very angry.
弊啊 弊狼 屈俊霸 烹力罐绰 促绰 巴篮 弊肺 窍咯陛 概快 拳唱霸 茄促.

26217:他\被\她的\美\色\迷\住\了\;\他\成为\她\美\色\的\俘虏\.\
#He became a captive to her charms.
弊绰 弊赤狼 固祸俊 荤肺棱躯促. 弊绰 弊赤 固祸狼 器肺啊 登菌促.

26218:他\被\她的\美\所\迷\;\他\为\她的\美\而\神\魂\颠倒\.\
#He was fascinated with her beauty.
弊绰 弊赤狼 酒抚促框俊 荤肺棱躯促. 弊绰 弊赤狼 酒抚促框俊 倔捞 狐脸促.

26219:他\被\音乐\深深\感动\,\犹如\置身\另\一\世界\.\
#He was transported by the music,as if in another world.
弊绰 澜厩俊 表捞 皑悼登绢辑, 付摹 磊脚阑 促弗 技拌俊 敌 巴 鞍疽促.

26220:他\奔跑\了\一\两\条\街\,\然后\放慢\步子\走\起来\.\
#He ran a street or two,and then fell into a walk.
弊绰 茄 滴 芭府甫 顿绢促囱 饶俊 惯吧澜阑 词眠绢 叭扁 矫累沁促.

26221:他\奔\向\汽车\间\把\那\辆\黑色\大轿车\退\出来\.\
#He ran to the garage and backed out the large black limousine.
弊绰 瞒绊甫 氢秦 倒柳窍绊绰 弊 八沥祸 奴 技窜阑 饶柳矫淖促.

26222:他\本来\不应该\那样\说\,\但是\他\却\那样\说\了\.\
#He oughtn't to have said that but he did.
弊绰 夯贰 弊犯霸 富秦辑绰 救等促. 弊矾唱 弊甫 弊犯霸 富沁促.

26223:他\本来\可以\在\宁静\与\和平\中\结束\他的\一生\.\
#He might have ended his days in quiet and peace.
弊绰 夯贰 炼侩窍绊 乞拳肺框 加俊辑 弊狼 老积阑 付皑且 巴捞促.

26224:他\比赛\输\了\,\心烦\意\乱\是\可以\理解\的\.\
#He was understandably upset when he lost the game.
弊啊 矫钦阑 脸栏聪, 付澜捞 缴鄂茄 巴篮 捞秦且 荐 乐促.

26225:他\比\他\所有\的\队\友\都\投\得\更\远\更\准\.\
#He can outrhrow all his teammates.
弊绰 弊狼 葛电 评盔甸焊促 歹宽 钢绊 歹宽 沥犬窍霸 带柳促.

26226:他\笔直\向前\高速\飞行\,\越过\港口\,\飞临\海面\.\
#He barreled straight ahead,across the harbour and out over the sea.
弊绰 度官肺 菊栏肺 绊加 厚青秦辑 亲备甫 逞绊 秦荐搁阑 胶媚 瘤唱艾促.

26227:他\必须\付\一\百\镑\,\否则\就\得\去\坐牢\.\
#He must pay ￡100 or else go to prison.
弊绰 100颇款靛甫 瘤阂秦具 茄促. 弊犯瘤 臼栏搁 皑苛俊 啊具 且 巴捞促.

26228:他\必须\亲自\向\委员会\解释\他的\行为\.\
#He had to appear before the committee to explain his behaviour.
弊绰 模洒 困韧雀俊 弊狼 青悼阑 汲疙秦具 茄促.

26229:他\编写\了\一些\新\曲\,\把\故事\拉长\.\
#He stretched the story out by creating new episodes.
弊绰 货肺款 畴贰甫 粱 瘤绢辑 捞具扁甫 辨霸 疵啡促.

26230:他\变\得\粗鲁\起来\,\不\象\从前\那样\有\礼貌\了\.\
#He has grown rude and fallen off from what he used to be.
弊绰 快厩胶反霸 函秦辑 辆傈贸烦 弊犯霸 抗狼官福瘤 臼促.

26231:他\辩论\不\输\给\任何人\;\他\辩才\无\碍\.\
#He bows to nobody in debating.
弊狼 函沸篮 绢恫 荤恩俊霸档 瘤瘤 臼绰促. 弊绰 富犁埃捞 措窜窍促.

26232:他\表面\看来\傲慢\,\但\骨子\是\个\好人\.\
#He appears pompous but he is a good man underneath.
弊绰 钎搁利栏肺 焊搁 坷父秦 焊捞瘤父, 郴缴篮 亮篮 荤恩捞促.

26233:他\表面\上\是\领事\馆\雇员\,\实\为\情报\人员\.\
#ostensibly a consular employee,he is actually a spy.
弊绰 钎搁利栏肺绰 康荤包 流盔捞瘤父 角力肺绰 沥焊盔捞促.

26234:他\表现\得\像\个\乞丐\,\因此\被\如此\看待\.\
#He behaved like a beggar and was treated as such.
弊绰 芭瘤贸烦 青悼沁促.  捞 锭巩俊 捞犯霸 措快罐疽促.

26235:他\彬彬有礼\地\听\了\十\分钟\,\然后\训\起\人\来\了\.\
#He listened politely for ten minutes and then launched out.
弊绰 酒林 抗狼官福霸 10盒阑 佃绊 唱辑 巢阑 绕拌窍扁 矫累沁促.

26236:他\病\得\很\厉害\,\但\精心\的\护理\使\他\转危为安\.\
#He was very ill but careful nursing brought him through.
弊绰 酒林 缴窍霸 捍捞 车瘤父, 技缴茄 埃龋啊 弊甫 困氰茄 惑怕甫 哈绢唱 救傈窍霸 沁促.

26237:他\病\得\厉害\,\不过\还有\恢复\的\希望\.\
#He is seriously ill; still,there is hope for his recovery.
弊绰 酒林 缴窍霸 捍捞 车瘤父, 弊贰档 雀汗且 雀汗且 锐噶篮 乐促.

26238:他\病\后\不久\,\觉得\还\没有\力气\走\这么\长\的\路\.\
#He didn't feel up to going such a long way after his recent illness.
弊绰 捍捞 抄 饶 倔付登瘤 臼酒辑, 捞公贰档 捞犯霸 刚 辨阑 吧阑 塞捞 绝阑 巴 鞍疽促.

26239:他\病\了\,\这\就是\他\没有\到\这里\来\的\原因\.\
#He was sick.This accounts for his not coming here.
弊绰 捍捞 车促. 捞巴捞 官肺 弊啊 咯扁俊 坷瘤 给沁带 盔牢捞促.

26240:他\并不是\特别\有\才能\,\只是\普普通通\.\
#He is not particularly brilliant; just run-of-the-mill.
弊绰 搬内 漂喊洒 犁瓷捞 乐绰 巴篮 酒聪绊, 窜瘤 弊历弊繁 祈捞促.

26241:他\并不\怎么\受\欢迎\,\不会\拉\到\许多\选票\.\
#He's not popular enough to pull many votes at the election.
弊绰 搬内 弊促瘤 券康阑 罐瘤 给秦辑 腹篮 急芭钎甫 缠 府啊 绝促.

26242:他\并不\真\会\喝酒\,\但\在\宴会\上\却\恣意\狂饮\.\
#He's not really a drinker,but he indulges at parties.
弊绰 搬内 沥富 贱阑 付角 荐 乐绰 巴篮 酒聪瘤父, 楷雀俊辑绰 付澜措肺 气澜茄促.

26243:他\并\非\封\工作\有\兴趣\,\只是\求\暴\富\.\
#He isn't interested in a career; he's just looking for a quickbuck quickbuck ..
弊绰 搬内 老俊 措秦 蕊固甫 啊瘤绊 乐绰 巴篮 酒聪绊 促父 涵遏何磊啊 登扁甫 官饿 挥捞促.

26244:他\不\爱\体育\活动\,\因此\在\学校\里\常\受\冷落\.\
#He was left out in the cold at school because he didn't like sports.
弊绰 眉腊 劝悼阑 亮酒窍瘤 臼绰促. 锭巩俊 切背俊辑 亲惑 仟措立阑 罐绰促.

26245:他\不\承认\她的\辛勤\工作\,\未免\度量\太\狭窄\了\.\
#It was ungenerous of him not to recognize all her hard work.
弊绰 弊赤狼 塞电 老阑 牢沥窍瘤 臼酒辑, 档樊捞 呈公 良篮 巴阑 搁摹 给茄促.

26246:他\不\辞\辛劳\为\我们\做饭\,\我们\要\谢谢\他\.\
#We must thank him for taking the trouble to cook us a meal.
弊绰 绊积阑 付促窍瘤 臼绊 快府甫 困秦辑 逛阑 窍聪, 快府绰 弊俊霸 皑荤秦具 茄促.

26247:他\不\打架\时\,\我们\认为\他\是\一本正经\的\人\.\
#We took him for a niceNelly when he would not fight.
弊啊 轿快瘤 臼阑 锭, 快府绰 弊啊 怕档啊 己角茄 荤恩捞扼绊 积阿茄促.

26248:他\不大\会\游泳\,\只\能\在\水\中\乱\扑打\.\
#He can't swim much; he just flops about in the water.
弊绰 弊促瘤 荐康阑 肋 且 临 葛福绊, 窜瘤 拱 加俊辑 酒公犯霸唱 梅骸瞪 荐 乐阑 挥捞促.

26249:他\不得不\花\更\多\的\时间\去\寻找\失去\的\线索\.\
#He had to spend more time nosing after the lost scent.
弊绰 歹 腹篮 矫埃阑 甸咯辑 酪绢滚赴 角付府甫 茫酒具父 沁促.

26250:他\不得不\使\自己\习惯\于\寒冷\的\天气\.\
#He had to accustom himself to the cold weather.
弊绰 磊脚阑 眠款 朝揪俊 嚼包甸咯具父 沁促.

26251:他\不断\地\工作\,\一直\干\到\筋\疲\力\竭\.\
#He worked and worked,until he felt utterly exhausted.
弊绰 扁柳钙柳且 锭鳖瘤 谗烙绝捞 临梆 老沁促.

26252:他\不断\地\央求\我\安排\他\在\我\办公室\工作\.\
#He importuned me for a position in my office.
弊绰 唱俊霸 弊啊 荤公角俊辑 老窍档废 救硅秦 崔扼绊 谗烙绝捞 埃没沁促.

26253:他\不敢\跳下去\,\因此\他\留\在\原来\的\地方\.\
#He was afraid to jump,so he stayed where he was.
弊绰 皑洒 顿绢郴府瘤 给沁促. 蝶扼辑 弊绰 盔贰狼 镑俊 巢酒 乐菌促.

26254:他\不\给予\我们\支持\,\因而\破坏\了\我们的\计划\.\
#He scuppered our plans by not giving us his support.
弊绰 快府俊霸 瘤瘤窍瘤 臼疽促. 锭巩俊 快府狼 拌裙阑 噶闷促.

26255:他\不顾\朋友\们\的\劝告\,\硬是\继续\干\他的\蠢\事\.\
#He persisted in his folly despite his friend's advice.
弊绰 模备甸狼 鼻绊甫 佃瘤 臼绊, 绊笼胶反霸 弊狼 官焊鞍篮 老阑 拌加沁促.

26256:他\不管\被\党派\到\哪里\,\都会\努力\工作\.\
#He will work hard wherever sent by the Party.
弊绰 寸俊 狼秦 绢蠢 镑俊 颇斑登绰瘤 埃俊, 葛滴 凯缴洒 老且 巴捞促.

26257:他\不会\偷窃\的\,\他\不至于\做\这\种\事\.\
#He wouldn't steal,he's above that.
弊啊 壬闷阑 府 绝促. 弊绰 捞 老阑 且 沥档绰 酒聪促.

26258:他\不会\一\个人\去\度假\,\这\是\不可能\的\.\
#He can't go on holiday alone; it's inconceivable.
弊啊 去磊辑 绒啊甫 栋唱瘤 臼阑 巴捞促. 捞巴篮 阂啊瓷茄 巴捞促.

26259:他\不会\做\那\件\事\除非\你\强迫\他\去\做\.\
#He won't do it unless you force him /.
弊绰 匙啊 弊俊霸 窍档废 碍夸窍瘤 臼绰促搁, 弊 老阑 且 府啊 绝促.

26260:他\不仅\请\我\进\屋\,\而且\竟然\还\请\喝\了\一\杯\.\
#He not only invited me into his house but he actually offered me a drink.
弊绰 唱俊霸 笼栏肺 甸绢坷扼绊 没沁阑 挥父 酒聪扼, 舵观俊档 茄 儡阑 付矫扼绊档 鼻沁促.

26261:他\不久\就\对\农场\的\工作\感到\厌烦\了\.\
#He soon wearied of his job on the farm.
弊绰 梆 丑厘狼 老俊 措秦辑 饺刘阑 蠢布促.

26262:他\不可能\懒惰\,\因为\他\有\很\大\进步\.\
#He cannot be idle,for he makes remarkable progress.
弊啊 霸栏甫 府 绝促. 恐衬窍搁 弊绰 酒林 奴 柳焊啊 乐菌扁 锭巩捞促.

26263:他\不肯\掏腰包\付\他\自己\所\吃\那\份饭\的\钱\.\
#He wouldn't shell out for his share of the meal.
弊绰 磊扁 捣阑 郴辑 弊 磊脚捞 冈篮 侥措甫 郴妨绊 窍瘤 臼绰促.

26264:他\不肯\走\,\因此\我们的\狗\把\他\赶走\了\.\
#He wouldn't leave,so our dog saw him off.
弊绰 啊妨绊 窍瘤 臼绰促. 蝶扼辑 快府狼 俺啊 弊甸 郴卵疽促.

26265:他\不\能\回去\工作\,\因为\旧病\复发\了\.\
#He can't return to work because he's had a relapse.
弊绰 捍捞 档廉辑 倒酒啊 老阑 且 荐 绝促.

26266:他\不\能\理解\是\什么\东西\使\这\孩子\着迷\.\
#He can't understand what has got into that child.
弊绰 绢恫 巴捞 捞 酒捞甫 荤肺棱绰瘤甫 捞秦且 荐 绝促.

26267:他\不\去\接触\要点\,\却\扯\到\枝节\问题\上去\了\.\
#He doesn't come near to touching the main point,but shies away into side issues.
弊绰 夸痢俊 靶辟窍瘤 给窍绊, 瘤勘利牢 巩力甫 捞具扁沁促.

26268:他\不\十分\理解\为什么\这\场\交易\失败\了\.\
#He didn't quite understand why the deal fell through.
弊绰 捞 背开捞 绢掳辑 角菩沁绰瘤 弊促瘤 捞秦窍瘤 给沁促.

26269:他\不是\个\会\受\骗\的\人\;\他\是\个\精明\的\人\.\
#He is no fool.
弊绰 加阑 荤恩捞 酒聪促. 弊绰 醚疙茄 荤恩捞促.

26270:他\不是\坏\得\会\出卖\自己的\战友\的\那种\人\.\
#He was not such a bad lot as to round on his comrades-in-arms.
弊绰 磊脚狼 傈快甫 迫阑 父怒 弊犯霸 唱慧 荤恩捞 酒聪促.

26271:他\不是\我的\朋友\,\只是\个\生意\合伙\人\.\
#He is not a friend but a business associate.
弊绰 唱狼 模备啊 酒聪绊, 窜瘤 荤诀 悼丰老 挥捞促.

26272:他\不是\因为\饿\了\,\而是\因为\贪\嘴\才\吃\的\.\
#He eats because of greed,not hunger.
弊绰 硅绊颇辑啊 酒聪扼, 冈焊扼辑 冈绰 巴捞促.

26273:他\不是\真的\受\了\伤\;\他\只是\在\假装\.\
